Year,Sex,PCL,FL,TL,TLcm,TLbin,Weight,Frequency,Source,Gear,LAT,LONG,FMP
2000,1,1656.063821,1830,1895.2341,189.52341,180,72.78654062,1,RACE_TWL,Bottom Trawl,58.524,-174.65511,BS
2000,1,1665.143319,1840,1905.5611,190.55611,190,73.98086775,1,RACE_TWL,Bottom Trawl,58.524,-174.65511,BS
2000,2,1665.143319,1840,1905.5611,190.55611,190,73.98086775,1,RACE_TWL,Bottom Trawl,58.524,-174.65511,BS
2000,2,1665.143319,1840,1905.5611,190.55611,190,73.98086775,1,RACE_TWL,Bottom Trawl,58.54727,-174.60451,BS
2000,1,1665.143319,1840,1905.5611,190.55611,190,73.98086775,2,RACE_TWL,Bottom Trawl,58.52817,-174.66209,BS
2000,2,1674.222818,1850,1915.8881,191.58881,190,75.1881779,1,RACE_TWL,Bottom Trawl,58.52817,-174.66209,BS
2000,2,1674.222818,1850,1915.8881,191.58881,190,75.1881779,1,RACE_TWL,Bottom Trawl,58.524,-174.65511,BS
2000,1,1683.302316,1860,1926.2151,192.62151,190,76.40854109,1,RACE_TWL,Bottom Trawl,58.524,-174.65511,BS
2000,2,1692.381814,1870,1936.5421,193.65421,190,77.64202732,1,RACE_TWL,Bottom Trawl,58.524,-174.65511,BS
2000,1,1710.540811,1890,1957.1961,195.71961,190,80.14864894,1,RACE_TWL,Bottom Trawl,56.06556,-168.795,BS
2000,1,1710.540811,1890,1957.1961,195.71961,190,80.14864894,1,RACE_TWL,Bottom Trawl,58.54727,-174.60451,BS
2000,1,1719.62031,1900,1967.5231,196.75231,190,80,1,RACE_TWL,Bottom Trawl,56.75155,-173.45461,BS
2000,2,1719.62031,1900,1967.5231,196.75231,190,81.42192434,1,RACE_TWL,Bottom Trawl,58.52817,-174.66209,BS
2000,2,1719.62031,1900,1967.5231,196.75231,190,81.42192434,2,RACE_TWL,Bottom Trawl,58.524,-174.65511,BS
2000,2,1737.779306,1920,1988.1771,198.81771,190,84.0087543,1,RACE_TWL,Bottom Trawl,58.524,-174.65511,BS
2000,1,1737.779306,1920,1988.1771,198.81771,190,84.0087543,1,RACE_TWL,Bottom Trawl,58.54727,-174.60451,BS
2000,1,1746.858805,1930,1998.5041,199.85041,190,85.32244886,1,RACE_TWL,Bottom Trawl,58.54727,-174.60451,BS
2000,2,1755.938303,1940,2008.8311,200.88311,200,86.64975648,1,RACE_TWL,Bottom Trawl,58.52817,-174.66209,BS
2000,2,1755.938303,1940,2008.8311,200.88311,200,86.64975648,1,RACE_TWL,Bottom Trawl,58.524,-174.65511,BS
2000,2,1765.017802,1950,2019.1581,201.91581,200,87.99074714,1,RACE_TWL,Bottom Trawl,58.52817,-174.66209,BS
2000,1,1765.017802,1950,2019.1581,201.91581,200,87.99074714,2,RACE_TWL,Bottom Trawl,58.52817,-174.66209,BS
2000,2,1783.176798,1970,2039.8121,203.98121,200,90.71405755,1,RACE_TWL,Bottom Trawl,58.52817,-174.66209,BS
2000,1,1783.176798,1970,2039.8121,203.98121,200,90.71405755,2,RACE_TWL,Bottom Trawl,58.524,-174.65511,BS
2000,1,1792.256297,1980,2050.1391,205.01391,200,92.09651729,1,RACE_TWL,Bottom Trawl,58.524,-174.65511,BS
2000,2,1810.415294,2000,2070.7931,207.07931,200,94.90339575,1,RACE_TWL,Bottom Trawl,58.524,-174.65511,BS
2000,1,1819.494792,2010,2081.1201,208.11201,200,96.32795444,1,RACE_TWL,Bottom Trawl,58.524,-174.65511,BS
2000,2,1837.653789,2030,2101.7741,210.17741,210,99.21966065,1,RACE_TWL,Bottom Trawl,58.52817,-174.66209,BS
2000,2,1837.653789,2030,2101.7741,210.17741,210,99.21966065,1,RACE_TWL,Bottom Trawl,58.524,-174.65511,BS
2000,2,1846.733287,2040,2112.1011,211.21011,210,100.6869481,2,RACE_TWL,Bottom Trawl,58.524,-174.65511,BS
2000,2,1855.812786,2050,2122.4281,212.24281,210,102.1686185,2,RACE_TWL,Bottom Trawl,58.52817,-174.66209,BS
2000,1,1864.892284,2060,2132.7551,213.27551,210,103.6647417,1,RACE_TWL,Bottom Trawl,58.52817,-174.66209,BS
2000,1,1873.971782,2070,2143.0821,214.30821,210,105.1753878,1,RACE_TWL,Bottom Trawl,58.524,-174.65511,BS
2000,2,1883.051281,2080,2153.4091,215.34091,210,106.7006266,1,RACE_TWL,Bottom Trawl,58.524,-174.65511,BS
2000,1,1892.130779,2090,2163.7361,216.37361,210,108.2405283,1,RACE_TWL,Bottom Trawl,58.524,-174.65511,BS
2000,2,1901.210278,2100,2174.0631,217.40631,210,109.7951626,1,RACE_TWL,Bottom Trawl,58.52817,-174.66209,BS
2000,2,1901.210278,2100,2174.0631,217.40631,210,109.7951626,1,RACE_TWL,Bottom Trawl,58.524,-174.65511,BS
2000,1,1901.210278,2100,2174.0631,217.40631,210,109.7951626,2,RACE_TWL,Bottom Trawl,58.524,-174.65511,BS
2000,1,1955.687268,2160,2236.0251,223.60251,220,119.4362744,1,RACE_TWL,Bottom Trawl,58.524,-174.65511,BS
2000,1,1964.766766,2170,2246.3521,224.63521,220,121.0959969,1,RACE_TWL,Bottom Trawl,58.524,-174.65511,BS
