species,area_combo,year,area,n_stations,n_pos_catch,area_cpue,boot_area_cpue,boot_bias,boot_sd,boot_lci,boot_uci
Sleeper shark,FMP (with Inside waters),2020,CAN,203,3,1.222274911270829e-4,1.2202373637214517e-4,-2.0375475493774556e-7,7.107037348674108e-5,3.063257688710051e-5,3.6524157515719393e-4
Sleeper shark,FMP (with Inside waters),2020,GOA,669,24,5.487153311138236e-4,5.496566530719607e-4,9.413219581370881e-7,1.3391386490088343e-4,3.3283049722294717e-4,8.691438537250154e-4
Sleeper shark,FMP (with Inside waters),2021,BSAI,125,1,6.050605933646568e-5,6.115696455932702e-5,6.50905222861339e-7,6.0503407590157284e-5,0,2.9840012032393125e-4
Sleeper shark,FMP (with Inside waters),2021,CAN,229,1,2.9624985041106625e-5,2.770578545044937e-5,-1.919199590657254e-6,2.7632154903926822e-5,0,1.7600348915136236e-4
Sleeper shark,FMP (with Inside waters),2021,GOA,737,37,7.10463210711007e-4,7.107611486489604e-4,2.979379379534474e-7,0.00017663256428974321,4.636607396230872e-4,0.0012677312726545548
Sleeper shark,FMP (with Inside waters),2021,WC,76,1,3.323650431742191e-5,3.296950766574024e-5,-2.669966516816692e-7,3.297724053187401e-5,0,1.9938025969278825e-4
Sleeper shark,FMP (without Inside waters),1998,BSAI,118,20,0.0022930404136463954,0.0023267891479511462,3.3748734304750796e-005,7.087332225585508e-4,0.0013242320640444508,0.0043118914899174104
Sleeper shark,FMP (without Inside waters),1998,CAN,130,2,1.1057008542549135e-4,1.1028130774819468e-4,-2.8877767729667235e-7,7.76871100665115e-5,0,3.826822774026705e-4
Sleeper shark,FMP (without Inside waters),1998,GOA,705,193,0.006016632858979932,0.006003307191545634,-1.3325667434298596e-5,5.657726332041729e-4,0.005026946751870982,0.007331907247794003
Sleeper shark,FMP (without Inside waters),1999,BSAI,99,7,0.0016841834148572468,0.0016415635384423102,-4.2619876414936534e-5,7.733690648096729e-4,6.10176094582439e-4,0.004287943932937914
Sleeper shark,FMP (without Inside waters),1999,CAN,169,6,2.6226323142576364e-4,2.6535532944781337e-4,3.0920980220497363e-6,1.1282303386609957e-4,1.1211901241795744e-4,5.982192704423759e-4
Sleeper shark,FMP (without Inside waters),1999,GOA,701,187,0.007201942992359371,0.007208196315330804,6.253322971432919e-6,6.827820222963372e-4,0.00601755012381852,0.008771861996523338
Sleeper shark,FMP (without Inside waters),1999,WC,84,2,1.7041222669293127e-4,1.6824881315198858e-4,-2.1634135409426866e-6,1.1864333424723148e-4,0,5.960848316865954e-4
Sleeper shark,FMP (without Inside waters),2000,BSAI,193,63,0.005313183188818036,0.005315451935786026,2.2687469679897806e-6,9.83710939787657e-4,0.0038951979726166617,0.008205783799386532
Sleeper shark,FMP (without Inside waters),2000,CAN,129,5,3.9095482561283916e-4,3.910758557548422e-4,1.2103014200305065e-7,1.826516707264497e-4,1.1226746801906853e-4,9.493515133076706e-4
