"Year","Source","FMP","Survey","Volume"
2019,"AKRO","BSAI","AFSC_TWLn",1
2019,"AKRO","GOA","AFSC_TWLn",311
2010,"AKRO","BSAI","AFSC_TWLt",0.427364
2010,"AKRO","GOA","AFSC_TWLt",0.06817
2011,"AKRO","BSAI","AFSC_TWLt",0.05
2011,"AKRO","GOA","AFSC_TWLt",2.711544
2012,"AKRO","BSAI","AFSC_TWLt",3.006222
2012,"AKRO","GOA","AFSC_TWLt",0
2013,"AKRO","BSAI","AFSC_TWLt",0
2013,"AKRO","GOA","AFSC_TWLt",8.543526
2014,"AKRO","BSAI","AFSC_TWLt",0.01144
2014,"AKRO","GOA","AFSC_TWLt",1.935395
2015,"AKRO","BSAI","AFSC_TWLt",0.09092
2015,"AKRO","GOA","AFSC_TWLt",4.61533
2016,"AKRO","BSAI","AFSC_TWLt",0.16553
2016,"AKRO","GOA","AFSC_TWLt",0
2017,"AKRO","BSAI","AFSC_TWLt",0.04084
2017,"AKRO","GOA","AFSC_TWLt",2.26847
2018,"AKRO","BSAI","AFSC_TWLt",0.05538
2018,"AKRO","GOA","AFSC_TWLt",0
2019,"AKRO","BSAI","AFSC_TWLt",0.002493
2019,"AKRO","GOA","AFSC_TWLt",1.160958
2010,"AKRO","BSAI","IPHC_LLn",0
2010,"AKRO","GOA","IPHC_LLn",0
2011,"AKRO","BSAI","IPHC_LLn",0
2011,"AKRO","GOA","IPHC_LLn",0
2012,"AKRO","BSAI","IPHC_LLn",0
2012,"AKRO","GOA","IPHC_LLn",0
2013,"AKRO","BSAI","IPHC_LLn",0
2013,"AKRO","GOA","IPHC_LLn",671
2014,"AKRO","BSAI","IPHC_LLn",0
2014,"AKRO","GOA","IPHC_LLn",63
2015,"AKRO","BSAI","IPHC_LLn",0
2015,"AKRO","GOA","IPHC_LLn",0
2016,"AKRO","BSAI","IPHC_LLn",0
2016,"AKRO","GOA","IPHC_LLn",0
2017,"AKRO","BSAI","IPHC_LLn",0
2017,"AKRO","GOA","IPHC_LLn",0
2018,"AKRO","BSAI","IPHC_LLn",0
2018,"AKRO","GOA","IPHC_LLn",0
2019,"AKRO","BSAI","IPHC_LLn",0
2019,"AKRO","GOA","IPHC_LLn",5135
2010,"AKRO","BSAI","IPHC_LLt",8.38
2010,"AKRO","GOA","IPHC_LLt",391.482
2011,"AKRO","BSAI","IPHC_LLt",1.502
2011,"AKRO","GOA","IPHC_LLt",149.444
2012,"AKRO","BSAI","IPHC_LLt",1.622
2012,"AKRO","GOA","IPHC_LLt",187.296
2013,"AKRO","BSAI","IPHC_LLt",4.963
2013,"AKRO","GOA","IPHC_LLt",288.261
2014,"AKRO","BSAI","IPHC_LLt",5.929
2014,"AKRO","GOA","IPHC_LLt",147.917
2015,"AKRO","BSAI","IPHC_LLt",2.554
2015,"AKRO","GOA","IPHC_LLt",230.076
2016,"AKRO","BSAI","IPHC_LLt",5.998
2016,"AKRO","GOA","IPHC_LLt",318.162
2017,"AKRO","BSAI","IPHC_LLt",4.556
2017,"AKRO","GOA","IPHC_LLt",169.264
2018,"AKRO","BSAI","IPHC_LLt",0.554
2018,"AKRO","GOA","IPHC_LLt",129.217
2019,"AKRO","BSAI","IPHC_LLt",0.906004
2019,"AKRO","GOA","IPHC_LLt",248.739443
